article	aid	url	img	iid	hashvalue	title	text	imgFile
513009079	123531	https://www.ksta.de/region/leverkusen/der-schnee-war-eher-schoen-als-schlimm-31969872	https://www.ksta.de/image/31969866/2x1/300/150/90bb8f622dc1310e396f3fccbf641c08/ox/ungewohntes-schneetreiben-am-vormittag-liess-viele-vorsichtig-fahren--auf-dem-europaring-floss-der-verkehr-aber-gut-.jpg	124169	3196986690bb8f622dc1310e396f3fccbf641c08ox	Der Schnee war eher schön als schlimm	Eine kaputte Weiche hat den Bahnverkehr einen ganzen Tag lang deutlich in Mitleidenschaft gezogen. Nahe Küppersteg war schon am Mittwoch eine am S-Bahn-Gleis kaputtgegangen – der Defekt machte Leverkusen eine Zeit lang unerreichbar, jedenfalls mit der S 6	3196986690bb8f622dc1310e396f3fccbf641c08ox.jpg
513009080	123532	https://www.ksta.de/region/leverkusen/die-stadt-voellig-neu-entdeckt-31969858	https://www.ksta.de/image/31969854/2x1/300/150/7ac8ed1424fc404691b6a6132bd111c9/vD/paula-grether--links--erzaehlt-ihrer-freundin-mia-mettke--wie-sie-das-bild-bearbeitet-hat-.jpg	124170	319698547ac8ed1424fc404691b6a6132bd111c9vD	Die Stadt völlig neu entdeckt	Was nicht passt, das wird passend gemacht. Das dachten sich sieben Kinder der Jugendkunstgruppe, die am Foto-Workshop „Gestalte dir die Stadt, wie du sie gerne hättest!“ teilnahmen. An fünf Samstagen trafen sich Johannes Albach, Selim Bodenstein, Paula Gr	319698547ac8ed1424fc404691b6a6132bd111c9vD.jpg
513009097	123533	https://www.ksta.de/kultur/ein-himmel-voller-geigen-31969848	https://www.ksta.de/image/31969846/2x1/300/150/b14907a17e82a7b2771d2e050ea36437/kK/arabella-steinbacher.jpg	124171	31969846b14907a17e82a7b2771d2e050ea36437kK	Ein Himmel voller Geigen	Sollte es ein Vorgriff auf das 2020 dräuende Jubiläumsjahr (100. Todestag) sein? Wohl kaum, das erste Violinkonzert des Kölners Max Bruch ist halt auch unabhängig von zufälligen biografischen Feierdaten ein Renner im Konzertsaal. Der einzige dieses Kompon	31969846b14907a17e82a7b2771d2e050ea36437kK.jpg
513012336	123535	https://www.ksta.de/sport/fussball/vorstandschef-rummenigge--beckenbauer--thront-ueber-allen--31969902	https://www.ksta.de/image/31969900/2x1/300/150/d4500952d03d3aaaa29104f8174de9a5/Hk/urn-newsml-dpa-com-20090101-190131-99-804836-large-4-3.jpg	124173	31969900d4500952d03d3aaaa29104f8174de9a5Hk	Vorstandschef Rummenigge: Beckenbauer „thront über allen”	Vorstandschef Karl-Heinz Rummenigge lässt auf die Bayern-Ikone Franz Beckenbauer nichts kommen.„Franz war mit Abstand der wichtigste Spieler für Bayern München, das gilt auch bis heute noch. Wir hatten viele Spieler, aber Franz thront über allen”, sagte d	31969900d4500952d03d3aaaa29104f8174de9a5Hk.jpg
513016249	123537	https://www.ksta.de/wirtschaft/eu-staaten-starten-freihandelsabkommen-mit-japan-31970034	https://www.ksta.de/image/31970032/2x1/300/150/1a7ca741d6e44a95ee400b467f7ecc0f/Eu/urn-newsml-dpa-com-20090101-190131-99-805562-large-4-3.jpg	124175	319700321a7ca741d6e44a95ee400b467f7ecc0fEu	EU-Staaten starten Freihandelsabkommen mit Japan	Die EU und Japan bilden von diesem Freitag an die größte Freihandelszone der Welt. Mit dem Inkrafttreten des 2018 geschlossenen Wirtschaftspartnerschaftsabkommens werden Märkte mit insgesamt rund 635 Millionen Menschen verbunden.Ziel ist es, Zölle und and	319700321a7ca741d6e44a95ee400b467f7ecc0fEu.jpg
513016526	123538	https://www.ksta.de/koeln/lindenthal/toedlicher-unfall-in-koeln-suelz-kvb-warnte-stadt-vor-gefahr-durch-ampelschaltung-31969118	https://www.ksta.de/image/31890322/2x1/300/150/f7ef61b29e2a2aa263d66ae14d974e14/PE/bahnuebergang-in-suelz-unglueck.jpg	124176	31890322f7ef61b29e2a2aa263d66ae14d974e14PE	KVB warnte Stadt vor Gefahr durch Ampelschaltung	Eine Schneedecke liegt am Donnerstag über dem Straßenübergang an der Luxemburger Straße auf Höhe der Kreuzung mit der Wittekindstraße. Die grellen Warnfarben der städtischen Sperrgitter in Orange und das rote Flatterband mit der Aufschrift „Polizeiabsperr	31890322f7ef61b29e2a2aa263d66ae14d974e14PE.jpg
513016659	123539	https://www.ksta.de/politik/gesundheitsminister-macht-hoffnung-spahn--krebs-ist-in-absehbarer-zeit-besiegbar-31970036	https://www.ksta.de/image/29887384/2x1/300/150/a1704d31269e532654781abaa54d167e/OD/jens-spahn-1.jpg	124177	29887384a1704d31269e532654781abaa54d167eOD	Spahn: Krebs ist in absehbarer Zeit besiegbar	Bundesgesundheitsminister Jens Spahn hält Krebsleiden in absehbarer Zeit für besiegbar. „Es gibt gute Chancen, dass wir in 10 bis 20 Jahren den Krebs besiegt haben“, sagte der CDU-Politiker der „Rheinischen Post“ (Freitag).Der medizinische Fortschritt sei	29887384a1704d31269e532654781abaa54d167eOD.jpg
513017040	123540	https://www.ksta.de/region/rhein-erft/elsdorf/elsdorf-kiesabbau-rueckt-naeher-an-die-doerfer---stadt-ist-wohl-machtlos-31967200	https://www.ksta.de/image/31967198/2x1/300/150/51f06a7e2038c9d8d5f7391307403fac/pm/71-143382174--null--31-01-2019-14-56-14-127-.jpg	124178	3196719851f06a7e2038c9d8d5f7391307403facpm	Kiesabbau rückt näher an die Dörfer – Stadt ist wohl machtlos	In der Gemarkung Fuchserde/Am Heidesteg sollen weitere Parzellen Ackerland ausgekiest werden. Der Antragsteller hat dazu bei der zuständigen Kreisverwaltung die Genehmigung beantragt. Die Stadt hat ihr vom Kreis gefordertes Einvernehmen zur Zustimmung wie	3196719851f06a7e2038c9d8d5f7391307403facpm.jpg
513017041	123541	https://www.ksta.de/region/euskirchen-eifel/kostenexplosion-bei-kreishausanbau-politiker-in-euskirchen-machen-ihrem-unmut-luft-31967450	https://www.ksta.de/image/31967444/2x1/300/150/87c4d42efee19e294bc5d72c4354de90/dB/kreishaus-im-winter-310119.jpg	124179	3196744487c4d42efee19e294bc5d72c4354de90dB	Politiker in Euskirchen machen ihrem Unmut Luft	Die Tätigkeit eines Kommunalpolitikers sollte man sich nicht als reines Vergnügen vorstellen. Vor allem, wenn man vor neun Monaten eine Kreishaus-Erweiterung beschlossen hat, deren Kosten damals auf 33,3 Millionen Euro geschätzt wurden, nun aber auf knapp	3196744487c4d42efee19e294bc5d72c4354de90dB.jpg
513017043	123542	https://www.ksta.de/ratgeber/finanzen/karriere/bis-zu-70-000-euro-im-jahr-acht-trendberufe--die-eine-sichere-zukunft-haben-31965626	https://www.ksta.de/image/31966730/2x1/300/150/f9590afc4cfb57ed112a5d4e63466527/Zv/frau-mit-geldscheinen.jpg	124180	31966730f9590afc4cfb57ed112a5d4e63466527Zv	Acht Trendberufe, die eine sichere Zukunft haben	Jeder zweite Deutsche wünscht sich in diesem Jahr ein höheres Gehalt. Das ergab die repräsentative Umfrage „Karriereziele 2019”. Im Auftrag des Personaldienstleisters Manpowergroup wurden dafür 1004 Bundesbürger befragt. Doch in welchen Jobs surfen Sie au	31966730f9590afc4cfb57ed112a5d4e63466527Zv.jpg
